target,feature,rho,p,n,p_fdr
nrmse,final_node_in_dim,0.42363178902237514,3.4084784542693267e-23,500,1.0225435362807981e-22
nrmse,reservoir_units_max,0.3927135924749851,6.933937036669588e-20,500,1.5601358332506573e-19
nrmse,spectral_radius_max,-0.5596940059996597,1.4621067394627666e-42,500,1.3158960655164901e-41
nrmse,leak_rate_max,-0.239426905660689,5.980994160235679e-08,500,7.68984963458873e-08
nrmse,leak_rate_mean,-0.4343400092702043,2.0151381170972148e-24,500,9.068121526937467e-24
nrmse,nvar_order_max,-0.3146640457234427,5.923020362401495e-13,500,8.884530543602243e-13
nrmse,nvar_outputs_max,,,500,1.0
nrmse,num_reservoirs,-0.3907041742779642,1.1072395388433582e-19,500,1.9930311699180446e-19
nrmse,num_nonnvar_reservoirs,0.19354800956095922,1.3106976238099873e-05,500,1.4745348267862357e-05
