target,feature,rho,p,n,p_fdr
nrmse,final_node_in_dim,-0.2866248450636505,6.550676650186969e-11,500,1.965202995056091e-10
nrmse,reservoir_units_max,-0.2998322222918363,7.605112387581758e-12,500,3.4223005744117916e-11
nrmse,spectral_radius_max,-0.06869095991283844,0.12504331920609357,500,0.18756497880914036
nrmse,leak_rate_max,-0.029638910030295253,0.5084631062719107,500,0.5720209945558996
nrmse,leak_rate_mean,-0.04843829273174236,0.2796807040048259,500,0.3595894765776333
nrmse,nvar_order_max,-0.15447493782910793,0.0005275809904966204,500,0.001187057228617396
nrmse,nvar_outputs_max,,,500,1.0
nrmse,num_reservoirs,-0.3025895952080866,4.783385227634229e-12,500,3.4223005744117916e-11
nrmse,num_nonnvar_reservoirs,0.10283463638990416,0.021459719724675738,500,0.038627495504416326
