target,feature,rho,p,n,p_fdr
nrmse,final_node_in_dim,-0.5088842591648678,2.7173337815053347e-34,500,1.2228002016774008e-33
nrmse,reservoir_units_max,-0.024646267842093863,0.5824486907952613,500,0.655254777144669
nrmse,spectral_radius_max,-0.024894463959219487,0.5786553108636427,500,0.655254777144669
nrmse,leak_rate_max,-0.024646267842093863,0.5824486907952613,500,0.655254777144669
nrmse,leak_rate_mean,-0.024646267842093863,0.5824486907952613,500,0.655254777144669
nrmse,nvar_order_max,-0.7006581857966685,4.966217096059207e-75,500,4.469595386453287e-74
nrmse,nvar_outputs_max,,,500,1.0
nrmse,num_reservoirs,0.32956784703228015,3.9316378728670615e-14,500,1.1794913618601186e-13
nrmse,num_nonnvar_reservoirs,-0.024646267842093863,0.5824486907952613,500,0.655254777144669
