target,feature,rho,p,n,p_fdr
nrmse,final_node_in_dim,0.5624817818223795,4.6677415270669e-43,500,2.1004836871801052e-42
nrmse,reservoir_units_max,0.5268845465351146,4.610204839118535e-37,500,1.3830614517355604e-36
nrmse,spectral_radius_max,-0.6105162734644479,2.1483969040695994e-52,500,1.9335572136626397e-51
nrmse,leak_rate_max,-0.40292218247478495,6.117576419228819e-21,500,1.1011637554611873e-20
nrmse,leak_rate_mean,-0.40292218247478495,6.117576419228819e-21,500,1.1011637554611873e-20
nrmse,nvar_order_max,-0.03921341392845579,0.3815844946752346,500,0.490867401051086
nrmse,nvar_outputs_max,,,500,1.0
nrmse,num_reservoirs,-0.03919685245459338,0.3817857563730669,500,0.490867401051086
nrmse,num_nonnvar_reservoirs,,,500,1.0
