target,feature,rho,p,n,p_fdr
nrmse,final_node_in_dim,0.13865789872196477,0.0018851792099802828,500,0.0034680416952504963
nrmse,reservoir_units_max,0.14627172233991814,0.001037305973534252,500,0.003111917920602756
nrmse,spectral_radius_max,0.0375711165193627,0.401857180259522,500,0.5166735174765282
nrmse,leak_rate_max,-0.20901375472722075,2.4271098315026533e-06,500,2.184398848352388e-05
nrmse,leak_rate_mean,-0.04704605425529142,0.2937502043407268,500,0.4406253065110902
nrmse,nvar_order_max,0.021328654851562878,0.6342285083301183,500,0.7135070718713832
nrmse,nvar_outputs_max,,,500,1.0
nrmse,num_reservoirs,-0.13837319933500875,0.0019266898306947204,500,0.0034680416952504963
nrmse,num_nonnvar_reservoirs,-0.1877444139826948,2.3871338249054534e-05,500,0.00010742102212074541
